category_alias,category_title,yelp_id,yelp_name,yelp_rating,yelp_coordinates.latitude,yelp_coordinates.longitude,yelp_location.address1,yelp_location.city,yelp_distance,bike_lat,bike_lon,bike_id,free_bikes
british,British,JNpi062fXUtd3lmGUSu-ww,Café Gandolfi,4.5,55.8580469,-4.2442038,64 Albion Street,Glasgow,1303.4466643060773,55.86077,-4.264535,8af6d6e52a43dc3df9086e10ab9da2a1,3
pizza,Pizza,UrnzTa6T3sLSVbbXLiYvQA,Paesano Pizza,4.5,55.8596504377382,-4.25060488821112,94 Miller Street,Glasgow,878.1643488087419,55.86077,-4.264535,8af6d6e52a43dc3df9086e10ab9da2a1,3
italian,Italian,UrnzTa6T3sLSVbbXLiYvQA,Paesano Pizza,4.5,55.8596504377382,-4.25060488821112,94 Miller Street,Glasgow,878.1643488087419,55.86077,-4.264535,8af6d6e52a43dc3df9086e10ab9da2a1,3
indpak,Indian,lxIzLHPF0KzoMsAGVELKPA,Chaakoo Bombay Cafe,4.6,55.8612686434504,-4.25586043938297,79 Saint Vincent Street,Glasgow,544.1488832921102,55.86077,-4.264535,8af6d6e52a43dc3df9086e10ab9da2a1,3
cafes,Cafes,lxIzLHPF0KzoMsAGVELKPA,Chaakoo Bombay Cafe,4.6,55.8612686434504,-4.25586043938297,79 Saint Vincent Street,Glasgow,544.1488832921102,55.86077,-4.264535,8af6d6e52a43dc3df9086e10ab9da2a1,3
seafood,Seafood,MV9QpVtXgvaqobe4Q7VLeg,Two Fat Ladies,4.4,55.8640552,-4.2619713,118a Blythswood Street,Glasgow,398.7911991599729,55.86077,-4.264535,8af6d6e52a43dc3df9086e10ab9da2a1,3
burgers,Burgers,3iUvNCibzS22lKUsGcalWA,Bread Meats Bread,4.2,55.8615643555828,-4.25636139361086,104 St Vincent Street,Glasgow,517.645342399296,55.86077,-4.264535,8af6d6e52a43dc3df9086e10ab9da2a1,3
sandwiches,Sandwiches,3iUvNCibzS22lKUsGcalWA,Bread Meats Bread,4.2,55.8615643555828,-4.25636139361086,104 St Vincent Street,Glasgow,517.645342399296,55.86077,-4.264535,8af6d6e52a43dc3df9086e10ab9da2a1,3
tradamerican,American,3iUvNCibzS22lKUsGcalWA,Bread Meats Bread,4.2,55.8615643555828,-4.25636139361086,104 St Vincent Street,Glasgow,517.645342399296,55.86077,-4.264535,8af6d6e52a43dc3df9086e10ab9da2a1,3
bars,Bars,QtMaqJyNSLLBqOjcL1n1Hg,Meat Bar,4.0,55.8635911547868,-4.26002953201532,142 West Regent Street,Glasgow,421.24689940434877,55.86077,-4.264535,8af6d6e52a43dc3df9086e10ab9da2a1,3
burgers,Burgers,QtMaqJyNSLLBqOjcL1n1Hg,Meat Bar,4.0,55.8635911547868,-4.26002953201532,142 West Regent Street,Glasgow,421.24689940434877,55.86077,-4.264535,8af6d6e52a43dc3df9086e10ab9da2a1,3
steak,Steakhouses,QtMaqJyNSLLBqOjcL1n1Hg,Meat Bar,4.0,55.8635911547868,-4.26002953201532,142 West Regent Street,Glasgow,421.24689940434877,55.86077,-4.264535,8af6d6e52a43dc3df9086e10ab9da2a1,3
pubs,Pubs,tt0MBksLam3cK78Z1ydPDQ,The Pot Still,4.7,55.862936,-4.257574,154 Hope Street,Glasgow,489.0179380690649,55.86077,-4.264535,8af6d6e52a43dc3df9086e10ab9da2a1,3
cafes,Cafes,ArbkbC0_pU7Yjr7AthdwFw,Primal Roast,4.6,55.862623459625,-4.26541016412352,278 St Vincent Street,Glasgow,213.2079283679261,55.86077,-4.264535,8af6d6e52a43dc3df9086e10ab9da2a1,3
bars,Bars,fBOooUkj6YutizdaRKL33g,Buck's Bar,4.3,55.8633155,-4.2595674,111 W Regent Street,Glasgow,417.1099389130687,55.86077,-4.264535,8af6d6e52a43dc3df9086e10ab9da2a1,3
chicken_wings,Chicken Wings,fBOooUkj6YutizdaRKL33g,Buck's Bar,4.3,55.8633155,-4.2595674,111 W Regent Street,Glasgow,417.1099389130687,55.86077,-4.264535,8af6d6e52a43dc3df9086e10ab9da2a1,3
bars,Bars,mVUrtt-CmLSF89Rdl1Zntg,111 By Nico,4.7,55.8881434,-4.3066771,111 Cleveden Road,Glasgow,1147.8866182654574,55.890398,-4.324766,90ca952e355fd4673ea26061d13d8841,3
british,British,mVUrtt-CmLSF89Rdl1Zntg,111 By Nico,4.7,55.8881434,-4.3066771,111 Cleveden Road,Glasgow,1147.8866182654574,55.890398,-4.324766,90ca952e355fd4673ea26061d13d8841,3
scottish,Scottish,2bgGFTdklZkqx_kes_y7fQ,Wee Lochan,4.8,55.878009,-4.32221,340 Crow Road,Glasgow,1386.7844942881668,55.890398,-4.324766,90ca952e355fd4673ea26061d13d8841,3
italian,Italian,C9MzrFXBd6aVtFERzCiAtw,Rossano's Bar Bistro,4.0,55.890518,-4.3243563,846 Crow Road,Glasgow,23.506585515641778,55.890398,-4.324766,90ca952e355fd4673ea26061d13d8841,3
italian,Italian,Py_I4CzihW31IrC1fSaZWA,Ecco 808 il Cafe,4.8,55.8896061,-4.3248169,808 Crow Road,Glasgow,87.51529347115022,55.890398,-4.324766,90ca952e355fd4673ea26061d13d8841,3
butcher,Butcher,Py_I4CzihW31IrC1fSaZWA,Ecco 808 il Cafe,4.8,55.8896061,-4.3248169,808 Crow Road,Glasgow,87.51529347115022,55.890398,-4.324766,90ca952e355fd4673ea26061d13d8841,3
cafes,Cafes,G4g3KuBfmz4TekHqwLcnzg,The Hyndland Fox,3.7,55.8771213,-4.3087726,43 Clarence Drive,Glasgow,1781.674692303571,55.890398,-4.324766,90ca952e355fd4673ea26061d13d8841,3
scottish,Scottish,G4g3KuBfmz4TekHqwLcnzg,The Hyndland Fox,3.7,55.8771213,-4.3087726,43 Clarence Drive,Glasgow,1781.674692303571,55.890398,-4.324766,90ca952e355fd4673ea26061d13d8841,3
bars,Bars,G4g3KuBfmz4TekHqwLcnzg,The Hyndland Fox,3.7,55.8771213,-4.3087726,43 Clarence Drive,Glasgow,1781.674692303571,55.890398,-4.324766,90ca952e355fd4673ea26061d13d8841,3
pubs,Pubs,LZ7vft--CL13jENKV1v8tA,Esquire House,3.1,55.888369,-4.321868,Clevelands,Glasgow,290.364511914362,55.890398,-4.324766,90ca952e355fd4673ea26061d13d8841,3
coffee,Coffee & Tea,BaH5DkNqeAGdnryRD3O7ag,The Hyndland Cafe,4.0,55.877809,-4.3123898,96 Clarence Drive,Glasgow,1598.5245118558375,55.890398,-4.324766,90ca952e355fd4673ea26061d13d8841,3
breakfast_brunch,Breakfast & Brunch,BaH5DkNqeAGdnryRD3O7ag,The Hyndland Cafe,4.0,55.877809,-4.3123898,96 Clarence Drive,Glasgow,1598.5245118558375,55.890398,-4.324766,90ca952e355fd4673ea26061d13d8841,3
british,British,BaH5DkNqeAGdnryRD3O7ag,The Hyndland Cafe,4.0,55.877809,-4.3123898,96 Clarence Drive,Glasgow,1598.5245118558375,55.890398,-4.324766,90ca952e355fd4673ea26061d13d8841,3
bakeries,Bakeries,F_Y_oWQUhf6y0hSzjFKXBg,Thomas Auld & Sons,4.3,55.890025,-4.324126,1632 Great Western Road,Glasgow,69.76598777864254,55.890398,-4.324766,90ca952e355fd4673ea26061d13d8841,3
pubs,Pubs,t9VRtLzZqRHl6QlrSkPYMg,B J's,1.7,55.890623,-4.324682,828 Crow Road,Glasgow,25.561240091136558,55.890398,-4.324766,90ca952e355fd4673ea26061d13d8841,3
cafes,Cafes,aVDzxHlBxG2rObwsMnpiqw,Lunch,4.3,55.889784,-4.323885,1620 Great Western Road,Glasgow,87.63113713183061,55.890398,-4.324766,90ca952e355fd4673ea26061d13d8841,3
hotdogs,Fast Food,YvP91eR3NpyDRRWeRpe_OQ,Subway,4.0,55.889613,-4.324582,1617 Great Western Road,Glasgow,89.25627389173242,55.890398,-4.324766,90ca952e355fd4673ea26061d13d8841,3
sandwiches,Sandwiches,YvP91eR3NpyDRRWeRpe_OQ,Subway,4.0,55.889613,-4.324582,1617 Great Western Road,Glasgow,89.25627389173242,55.890398,-4.324766,90ca952e355fd4673ea26061d13d8841,3
hotdogs,Fast Food,9SRR75yXyOIoYOrMgIaBfg,Gennaro Fish & Chicken Bar,4.0,55.8893282075976,-4.32233504647281,3 Herschell Street,Glasgow,192.68774553484073,55.890398,-4.324766,90ca952e355fd4673ea26061d13d8841,3
fishnchips,Fish & Chips,9SRR75yXyOIoYOrMgIaBfg,Gennaro Fish & Chicken Bar,4.0,55.8893282075976,-4.32233504647281,3 Herschell Street,Glasgow,192.68774553484073,55.890398,-4.324766,90ca952e355fd4673ea26061d13d8841,3
cafes,Cafes,EHtShLDkB6i0QvECnuQS2w,Cafe Circa,4.8,55.877746,-4.321842,322 Crow Road,Glasgow,1419.4213953153426,55.890398,-4.324766,90ca952e355fd4673ea26061d13d8841,3
cafes,Cafes,AbEwZd-g3SeswKw6LhaASQ,Beefcake Cafe,5.0,55.8895963,-4.32482,808 Crow Road,Glasgow,87.51529347115022,55.890398,-4.324766,90ca952e355fd4673ea26061d13d8841,3
